attack_type,attack_method,num_rows,breach_rate_pct,impact_mean
dodging_attack,VMI_FGSM,144,56.94444444444444,0.21599527698424126
dodging_attack,SI_NI_FGSM,264,39.77272727272727,0.22543989531895656
dodging_attack,MI_FGSM,264,34.84848484848485,0.2071270587627127
dodging_attack,MI_ADMIX_DI_TI,264,31.439393939393938,0.18610520986898832
dodging_attack,TI_FGSM,264,28.030303030303028,0.16046808193016687
dodging_attack,PGD,264,22.727272727272727,0.1251760718884229
impersonation_attack,VMI_FGSM,180,27.77777777777778,0.14597786490732598
impersonation_attack,SI_NI_FGSM,264,26.515151515151516,0.14349818191594357
impersonation_attack,MI_FGSM,264,19.696969696969695,0.12823667312694542
impersonation_attack,MI_ADMIX_DI_TI,264,19.318181818181817,0.12558114244515414
impersonation_attack,TI_FGSM,264,15.151515151515152,0.10886244692815975
impersonation_attack,PGD,264,12.5,0.08532772367224942
