attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,VMI_FGSM,27,44.44444444444444,0.2912331576153084
ArcFace,Facenet512,SI_NI_FGSM,34,32.35294117647059,0.2782149905324859
ArcFace,Facenet512,MI_ADMIX_DI_TI,34,23.52941176470588,0.20917028031336032
ArcFace,Facenet512,MI_FGSM,34,23.52941176470588,0.23258465453294272
ArcFace,Facenet512,TI_FGSM,34,11.76470588235294,0.1786297487847945
ArcFace,Facenet512,PGD,34,8.823529411764707,0.11395875220868518
ArcFace,GhostFaceNet,SI_NI_FGSM,34,38.23529411764706,0.13580269541771095
ArcFace,GhostFaceNet,VMI_FGSM,27,37.03703703703704,0.10427660790168575
ArcFace,GhostFaceNet,MI_ADMIX_DI_TI,34,35.294117647058826,0.09719968510423513
ArcFace,GhostFaceNet,MI_FGSM,34,29.411764705882355,0.12077105705422515
ArcFace,GhostFaceNet,TI_FGSM,34,26.47058823529412,0.08661301392912865
ArcFace,GhostFaceNet,PGD,34,20.588235294117645,0.061187322305887935
ArcFace,IR152,SI_NI_FGSM,30,16.666666666666664,0.20139253363013265
ArcFace,IR152,MI_ADMIX_DI_TI,30,6.666666666666667,0.13874245698874194
ArcFace,IR152,MI_FGSM,30,6.666666666666667,0.15157754098375636
ArcFace,IR152,PGD,30,6.666666666666667,0.0602721053175628
ArcFace,IR152,TI_FGSM,30,6.666666666666667,0.11808210381617147
ArcFace,VGG-Face,SI_NI_FGSM,34,38.23529411764706,0.1641280622196548
ArcFace,VGG-Face,VMI_FGSM,27,33.33333333333333,0.13264942834553897
ArcFace,VGG-Face,MI_ADMIX_DI_TI,34,23.52941176470588,0.11739597947579973
ArcFace,VGG-Face,MI_FGSM,34,23.52941176470588,0.12851986197285792
ArcFace,VGG-Face,TI_FGSM,34,23.52941176470588,0.10689319293586647
ArcFace,VGG-Face,PGD,34,8.823529411764707,0.06727521402292391
Facenet512,ArcFace,SI_NI_FGSM,34,64.70588235294117,0.23559305779535109
Facenet512,ArcFace,VMI_FGSM,27,55.55555555555556,0.22332766501462017
Facenet512,ArcFace,MI_FGSM,34,44.11764705882353,0.19808739649359797
Facenet512,ArcFace,MI_ADMIX_DI_TI,34,32.35294117647059,0.1827368172642501
Facenet512,ArcFace,TI_FGSM,34,32.35294117647059,0.17000649547213142
Facenet512,ArcFace,PGD,34,29.411764705882355,0.1575087243242737
Facenet512,GhostFaceNet,VMI_FGSM,27,44.44444444444444,0.10637290419798207
Facenet512,GhostFaceNet,SI_NI_FGSM,34,44.11764705882353,0.1310322866223314
Facenet512,GhostFaceNet,MI_FGSM,34,41.17647058823529,0.11828472322799705
Facenet512,GhostFaceNet,TI_FGSM,34,38.23529411764706,0.09877297890278346
Facenet512,GhostFaceNet,MI_ADMIX_DI_TI,34,35.294117647058826,0.11927844644210793
Facenet512,GhostFaceNet,PGD,34,35.294117647058826,0.08967609065271474
Facenet512,IR152,SI_NI_FGSM,30,26.666666666666668,0.2345805107926329
Facenet512,IR152,MI_ADMIX_DI_TI,30,16.666666666666664,0.20876300496359665
Facenet512,IR152,MI_FGSM,30,16.666666666666664,0.20768574209262927
Facenet512,IR152,PGD,30,6.666666666666667,0.14041076696788268
Facenet512,IR152,TI_FGSM,30,6.666666666666667,0.17266799425706267
Facenet512,VGG-Face,SI_NI_FGSM,34,61.76470588235294,0.22940525912484702
Facenet512,VGG-Face,MI_FGSM,34,50.0,0.20248526330677905
Facenet512,VGG-Face,VMI_FGSM,27,48.148148148148145,0.18984202093813154
Facenet512,VGG-Face,MI_ADMIX_DI_TI,34,44.11764705882353,0.1972055017320549
Facenet512,VGG-Face,TI_FGSM,34,44.11764705882353,0.17601427650924992
Facenet512,VGG-Face,PGD,34,35.294117647058826,0.1599972885350971
GhostFaceNet,ArcFace,VMI_FGSM,27,29.629629629629626,0.11523507242202759
GhostFaceNet,ArcFace,MI_FGSM,34,20.588235294117645,0.0896493363951059
GhostFaceNet,ArcFace,SI_NI_FGSM,34,17.647058823529413,0.10731987557547058
GhostFaceNet,ArcFace,MI_ADMIX_DI_TI,34,14.705882352941178,0.07215075272527688
GhostFaceNet,ArcFace,PGD,34,14.705882352941178,0.049869700646225146
GhostFaceNet,ArcFace,TI_FGSM,34,14.705882352941178,0.055520427642368225
GhostFaceNet,Facenet512,VMI_FGSM,27,18.51851851851852,0.1348294539116047
GhostFaceNet,Facenet512,MI_FGSM,34,8.823529411764707,0.13234849639973217
GhostFaceNet,Facenet512,SI_NI_FGSM,34,8.823529411764707,0.14630357887017376
GhostFaceNet,Facenet512,MI_ADMIX_DI_TI,34,0.0,0.09707953494778451
GhostFaceNet,Facenet512,PGD,34,0.0,0.06446926951925544
GhostFaceNet,Facenet512,TI_FGSM,34,0.0,0.0867388455402325
GhostFaceNet,IR152,SI_NI_FGSM,30,3.3333333333333335,0.11923329786707955
GhostFaceNet,IR152,TI_FGSM,30,3.3333333333333335,0.07381946487973132
GhostFaceNet,IR152,MI_ADMIX_DI_TI,30,0.0,0.08753197104670105
GhostFaceNet,IR152,MI_FGSM,30,0.0,0.10229149529089529
GhostFaceNet,IR152,PGD,30,0.0,0.0422560872354855
GhostFaceNet,VGG-Face,SI_NI_FGSM,34,17.647058823529413,0.08151042534007746
GhostFaceNet,VGG-Face,VMI_FGSM,27,11.11111111111111,0.04733461353072415
GhostFaceNet,VGG-Face,MI_ADMIX_DI_TI,34,8.823529411764707,0.053744622684489284
GhostFaceNet,VGG-Face,MI_FGSM,34,8.823529411764707,0.06622675922723378
GhostFaceNet,VGG-Face,TI_FGSM,34,8.823529411764707,0.04581382866589462
GhostFaceNet,VGG-Face,PGD,34,5.88235294117647,0.02581308953323785
VGG-Face,ArcFace,VMI_FGSM,27,66.66666666666666,0.23271285019980537
VGG-Face,ArcFace,MI_FGSM,34,52.94117647058824,0.21644571983318994
VGG-Face,ArcFace,MI_ADMIX_DI_TI,34,50.0,0.215190487595034
VGG-Face,ArcFace,TI_FGSM,34,47.05882352941176,0.1947168538117672
VGG-Face,ArcFace,SI_NI_FGSM,34,44.11764705882353,0.21036287359792522
VGG-Face,ArcFace,PGD,34,38.23529411764706,0.16185825510835825
VGG-Face,Facenet512,VMI_FGSM,27,59.25925925925925,0.43317019465234546
VGG-Face,Facenet512,SI_NI_FGSM,34,55.88235294117647,0.40367310279292223
VGG-Face,Facenet512,MI_ADMIX_DI_TI,34,52.94117647058824,0.3923192288164707
VGG-Face,Facenet512,MI_FGSM,34,52.94117647058824,0.4179792305988424
VGG-Face,Facenet512,TI_FGSM,34,41.17647058823529,0.34843903022732803
VGG-Face,Facenet512,PGD,34,35.294117647058826,0.28952571186918546
VGG-Face,GhostFaceNet,MI_ADMIX_DI_TI,34,41.17647058823529,0.11710363686702706
VGG-Face,GhostFaceNet,VMI_FGSM,27,40.74074074074074,0.11417660790168575
VGG-Face,GhostFaceNet,MI_FGSM,34,38.23529411764706,0.12078693509062421
VGG-Face,GhostFaceNet,SI_NI_FGSM,34,38.23529411764706,0.11040740432726108
VGG-Face,GhostFaceNet,TI_FGSM,34,32.35294117647059,0.10011791950052273
VGG-Face,GhostFaceNet,PGD,34,26.47058823529412,0.09011769228958907
VGG-Face,IR152,MI_ADMIX_DI_TI,30,13.333333333333334,0.1878174968684713
VGG-Face,IR152,SI_NI_FGSM,30,13.333333333333334,0.1598613101989031
VGG-Face,IR152,MI_FGSM,30,10.0,0.17292070357749859
VGG-Face,IR152,PGD,30,3.3333333333333335,0.10073638226216036
VGG-Face,IR152,TI_FGSM,30,0.0,0.13749226415529847
